id,jour,ordre conditions,ordre histoires,condition,histoire,mean f,var f,varfn,varfm,varfnm,meanv,varv,varz
1,1,c 3012,s 1302,3,-1,0.7429274643029168,0.039353904470865085,0.0004523437295501734,0.05297139540774758,0.0006088666138821562,0.0020365774144873463,2.05531070689441e-08,2.0204937927029407e-05
1,1,c 3012,s 1302,2,-1,1.0708172072731672,0.04386968974158436,0.00033745915185834125,0.040968420607750966,0.00031514169698269976,0.0029652927014804024,1.769577788039416e-08,6.57985458328905e-05
1,1,c 3012,s 1302,2,2,0.9189826469846244,0.06901761935197005,0.0004510955513200657,0.07510220087227043,0.0004908640579886957,0.0025071149461389714,8.700274626180446e-08,1.7806566229510936e-05
1,1,c 3012,s 1302,3,1,0.5230251335333626,0.02872155008331098,0.0002066298567144675,0.05491428277887701,0.000395066782581849,0.0013994412223736251,4.2947294106930784e-08,2.19355320154921e-07
1,2,c 3012,s 1302,3,1,0.5907987259794506,0.03834549159688138,0.0003583690803446858,0.06490449269894859,0.0006065840439154074,0.00160080120812035,6.78180878251159e-08,7.914405744465952e-06
2,1,c 2130,s 3012,3,1,0.4934187937247361,0.03161737645919206,0.0011291920163997164,0.06407817631046796,0.002288506296802427,0.0013938718322950678,6.438633126341781e-08,0.0008845429436566075
2,1,c 2130,s 3012,3,-1,0.8859788532646042,0.029678670473156723,0.00027998745729393133,0.033498170259705924,0.00031602047414816905,0.002448550904854992,1.3782799667129312e-08,2.276954335476815e-05
2,1,c 2130,s 3012,2,3,0.6687348321048476,0.0587415931480349,0.0016783312328009971,0.08783988858954052,0.0025097111025583004,0.001673564164469672,2.969581325642414e-07,0.00022509732472091403
2,1,c 2130,s 3012,2,-1,0.9997834510029118,0.03865739667184137,0.00030680473549080453,0.038665769705492736,0.0003068711881388313,0.002712405538591848,1.6830790990469622e-08,2.059500202880858e-06
2,2,c 2130,s 3012,3,1,0.6088513393085452,0.027147372807745748,0.000696086482249891,0.04458785101561283,0.0011432782311695598,0.0016897103302573055,2.1712166488398926e-08,2.5791922189173104e-07
2,2,c 2130,s 3012,2,3,0.7130884679698847,0.03671692202633281,0.0009179230506583203,0.05148999552729192,0.001287249888182298,0.0019179550981034772,1.1758341407267431e-07,1.1179535147392291e-08
3,1,c 0312,s 0321,2,-1,0.9796172543557201,0.07659056799830798,0.0006490726101551523,0.07818417617468414,0.0006625777641922384,0.0027026105485917834,8.036574364882048e-08,7.874084437500019e-08
3,1,c 0312,s 0321,2,1,0.7611299351131903,0.03976108108751519,0.0005934489714554507,0.052239544463064884,0.0007796946934785804,0.002104834498552621,3.055557091203462e-08,1.1561391934467494e-07
3,1,c 0312,s 0321,3,-1,0.7136813346549571,0.05898257058375403,0.0006939125951029886,0.08264552780026156,0.0009723003270619007,0.0019572522782787096,3.688025026525373e-08,4.795887041881368e-07
3,1,c 0312,s 0321,3,3,0.6408154428680849,0.046197892774303924,0.0006999680723379382,0.07209235246818793,0.0010923083707301202,0.0018092648508257982,3.002446427216359e-08,1.5150177249134957e-07
3,2,c 0312,s 0321,2,1,0.8804215607867198,0.046387035835233285,0.00052712540721856,0.05268730106266723,0.0005987193302575821,0.002354254489629915,1.2031495996214505e-07,3.146213580246957e-08
4,1,c 0132,s 0231,2,-1,0.8991407866844243,0.027965744907666252,0.00026382778214779483,0.03110274310966334,0.0002934221048081447,0.004133943680654854,2.676924346440735e-08,1.9738556241427368e-09
4,1,c 0132,s 0231,2,1,0.9075221976887579,0.037300298711638626,0.0002762985089751009,0.04110125218604412,0.0003044537198966231,0.004143397464826017,8.358280847332919e-08,2.1962083066582675e-06
4,1,c 0132,s 0231,3,3,0.6245280094481556,0.028000373154809893,0.0003373538934314445,0.04483445535061196,0.0005401741608507464,0.0028941805705514217,1.6062619817696332e-07,1.004533804421768e-06
4,1,c 0132,s 0231,3,-1,0.939408274598395,0.031171622055577494,0.00027831805406765617,0.03318218808419973,0.000296269536466069,0.004340118533269171,5.21963120887185e-08,9.760773930440138e-08
4,2,c 0132,s 0231,2,1,1.0220701146600495,0.04912825925511683,0.0003232122319415581,0.04806740609127131,0.0003162329348109955,0.002825888552654036,5.991079338427962e-08,0.0001268925601294063
4,2,c 0132,s 0231,3,3,0.8106844760126025,0.0640358589385815,0.00042690572625721,0.07898986699923687,0.0005265991133282458,0.0022411752507866278,7.492512684043641e-08,5.6112441575889624e-05
5,1,c 3102,s 2310,3,-1,1.3163970926614037,0.06817049935948206,0.0004342070022896947,0.051785665388898346,0.0003298450024770595,0.006037273217500028,9.718127522293389e-08,1.840226234800839e-06
5,1,c 3102,s 2310,3,2,0.7642255456612759,0.07375526184188867,0.0005673481680145283,0.09650980951973945,0.0007423831501518419,0.0034632278314358457,1.5282053052083297e-07,1.3740613100895326e-06
5,1,c 3102,s 2310,2,0,1.050987843283338,0.05351743635326163,0.0003993838533825495,0.0509210802915384,0.00038000806187715226,0.004815387095691978,1.0982687833310553e-07,6.934985284380404e-05
5,1,c 3102,s 2310,2,-1,1.0568012483285925,0.04107846215461752,0.0003234524579103742,0.03887056551038909,0.0003060674449636936,0.004902670043413505,4.853255465952922e-08,3.821986726663061e-05
5,2,c 3102,s 2310,3,2,0.7455708272627564,0.04462456451989017,0.000507097324089661,0.059852884378164446,0.0006801464133882322,0.0033389761396397685,3.899625436406892e-07,2.353657772839506e-07
5,2,c 3102,s 2310,2,0,1.0103980686213054,0.048655961050520856,0.00046339010524305575,0.04815523956504808,0.0004586213291909341,0.00445564011408734,8.918654259880049e-07,6.550178391125833e-08
6,1,c 2103,s 3021,3,1,0.5013623185730609,0.05146443487802388,0.0010949879761281676,0.10264918796549773,0.0021840252758616534,0.0013185197585140408,8.735592191829749e-08,2.0653636401499485e-07
6,1,c 2103,s 3021,2,3,0.6677168441318508,0.04728773686429892,0.0008014870654965919,0.07082004487363394,0.0012003397436209143,0.0017456758526322427,1.9941068069458164e-07,0.0004553322960791131
6,1,c 2103,s 3021,3,-1,0.8797788449078479,0.0659805016720605,0.0006283857302101,0.07499669042277507,0.0007142541945026196,0.0024526925228506983,7.781985445397535e-08,3.904165320131721e-06
6,1,c 2103,s 3021,2,-1,0.8174896185532,0.05974822008328332,0.0005915665354780527,0.07308743588576234,0.000723637979066954,0.002252236316352691,3.0854778554101455e-08,1.938425695164516e-08
6,2,c 2103,s 3021,3,1,0.49321778292691676,0.04290873766152963,0.0010465545771104789,0.08699754783149759,0.0021218914105243314,0.0013552504390698637,1.1754871251721346e-07,1.151725700378588e-06
6,2,c 2103,s 3021,2,3,0.6282241586963674,0.03929399578912571,0.0007276665886875131,0.0625477311644063,0.0011582913178593759,0.001709752922293165,1.2250091137665177e-07,0.0002064435235778834
7,1,c 1023,s 1320,3,-1,0.6888133561398649,0.03725430453427667,0.00045432078700337396,0.054084759248936666,0.00065957023474313,0.003188819309100862,3.951688848179003e-08,1.8282407083756715e-07
7,1,c 1023,s 1320,2,2,0.5775454018167938,0.04713676125635316,0.0005545501324276843,0.08161568096304515,0.0009601844819181783,0.0026392454671431208,1.1071983436316177e-07,4.62137329637642e-08
7,1,c 1023,s 1320,3,0,0.5698204016082647,0.04554479369445395,0.00045093855143023715,0.07992833104239166,0.0007913696142811056,0.0025629465271489516,3.3481606174108335e-07,1.521850684136111e-06
7,1,c 1023,s 1320,2,-1,0.6172648014810853,0.048067183256688205,0.0006675997674540029,0.0778712525667335,0.0010815451745379652,0.002836569343255102,7.727922531209381e-08,2.6356587289992052e-08
7,2,c 1023,s 1320,3,0,0.4822781189077642,0.021309419010636484,0.00026636773763295606,0.04418491773770876,0.0005523114717213596,0.0013364635543345448,2.1388244540800093e-07,1.538201535781674e-07
7,2,c 1023,s 1320,2,2,0.5797683675010336,0.0313007419476693,0.0003516937297490932,0.05398835759630073,0.000606610759508997,0.0016270635171107943,1.4429027355120864e-07,6.253631935756556e-06
8,1,c 0231,s 0132,2,1,0.6330435891762337,0.0548100963558499,0.0005769483826931569,0.08658186780972402,0.0009113880822076212,0.002856128447107667,1.5910036551777228e-07,5.6025046875000124e-08
8,1,c 0231,s 0132,2,-1,1.0184331454349258,0.05993960676209469,0.0004953686509264025,0.058854728983213964,0.00048640271886953696,0.004750284876185535,9.513090864228586e-08,9.939616498116457e-09
8,1,c 0231,s 0132,3,3,0.8004432659303037,0.05474962173379483,0.0004211509364138064,0.06839912841313353,0.0005261471416394887,0.0034608348585639364,7.762810933094108e-07,5.30392581898531e-07
8,1,c 0231,s 0132,3,-1,0.9114014646517737,0.06392257107300026,0.0005918756580833357,0.07013656829860775,0.0006494126694315532,0.004173307486461707,9.456751327314655e-08,1.1801192980388867e-07
8,2,c 0231,s 0132,3,3,0.8636546652083162,0.08559905505500491,0.0004836104805367509,0.09911259500272386,0.000559958163857197,0.0024263467740004343,2.216045551237567e-07,7.474260093130676e-06
8,2,c 0231,s 0132,2,1,0.7092814528773483,0.0572747090949061,0.00042425710440671183,0.08075032677445501,0.0005981505686996668,0.0019747602425026893,1.0285250844024141e-07,1.820738532655722e-08
9,1,c 2031,s 3210,3,-1,0.9049709994337969,0.03716610313144214,0.00034734675823777704,0.04106883331586918,0.00038382087211092687,0.0021800595578002806,6.683764777283216e-07,4.893068928669409e-06
9,1,c 2031,s 3210,2,3,0.8419846096250563,0.036433969453897354,0.00048578625938529806,0.043271538502493226,0.0005769538466999097,0.002311459371930497,9.841025276573617e-08,5.944899645808936e-09
9,1,c 2031,s 3210,3,1,0.8721389572026874,0.04411029743564407,0.0006486808446418246,0.05057714378122054,0.0007437815261944197,0.002302767366644203,3.19409737471459e-07,1.7407359673469398e-07
9,1,c 2031,s 3210,2,-1,0.9700880506218568,0.043944479372756286,0.0003788317187306576,0.04529947497506696,0.0003905127153023013,0.002691075602867519,1.5668324651210642e-08,7.229596525669129e-08
9,2,c 2031,s 3210,2,3,1.0178785571250553,0.03344241546572011,0.00026969689891709765,0.03285501519962899,0.0002649597999970079,0.003004230806687059,6.019397281524387e-07,7.800094897389794e-08
9,2,c 2031,s 3210,3,1,0.8762315540259584,0.0418338981033257,0.0005164678778188358,0.04774297149094264,0.0005894194011227486,0.0023840091458747045,1.5598975321052248e-07,1.3805176368123094e-07
10,1,c 1230,s 1203,3,0,0.5146689482655282,0.0524031785639271,0.0008881894671852051,0.10181919608814487,0.0017257490862397434,0.0014089688823848967,3.874156242938676e-08,2.1538590271432428e-07
10,1,c 1230,s 1203,3,-1,0.9221889126905177,0.04852123510886332,0.0004411021373533029,0.052615287866887225,0.00047832079878988386,0.002546497328774147,2.6498221071530405e-08,0.00010012263590664893
10,1,c 1230,s 1203,2,2,0.9887022214300066,0.04339024997557356,0.00045198177057889123,0.04388606502048331,0.0004571465106300345,0.002620318854878415,2.746293776148234e-07,4.5847652644731135e-08
10,1,c 1230,s 1203,2,-1,1.1293244660435817,0.041450794703269074,0.00030704292372791907,0.03670406154263681,0.0002718819373528652,0.003162238061824068,2.0391217893535086e-08,6.373982071799262e-08
10,2,c 1230,s 1203,3,0,0.5984126619421873,0.0584578509781923,0.0006877394232728505,0.09768819193842511,0.001149272846334413,0.0015270999741962598,2.0572649683525874e-07,7.127932409410487e-08
10,2,c 1230,s 1203,2,2,0.9487524464504933,0.041069010847134345,0.00029335007747953104,0.04328738334302399,0.00030919559530731425,0.0026107932261947454,2.4520126028788146e-08,8.963233020157465e-05
