id,jour,ordre histoires,ordre conditions,histoire,condition,mean f,var f
1,1,c 3012,s 1302,-1,-1,187.3969465648855,9.103039832274954,3
1,1,c 3012,s 1302,3,1,384.12857142857143,22.508043913595124,4
1,1,c 3012,s 1302,2,2,218.96103896103895,16.753322258966065,3
1,1,c 3012,s 1302,-1,-1,269.9655172413793,14.775288686416388,4
2,1,c 2130,s 3012,-1,-1,226.71028037383178,10.209954228200598,4
2,1,c 2130,s 3012,2,3,303.5,30.386857539257182,4
2,1,c 2130,s 3012,-1,-1,200.61417322834646,8.025596103741183,3
2,1,c 2130,s 3012,3,1,406.17241379310343,27.01349466791742,4
3,1,c 0312,s 0321,-1,-1,283.72093023255815,30.30950850989523,4
3,1,c 0312,s 0321,-1,-1,206.12605042016807,19.178311727139597,3
3,1,c 0312,s 0321,3,3,314.0,22.700287009265548,4
3,1,c 0312,s 0321,2,1,264.8970588235294,20.088143785856513,3
4,1,c 0132,s 0231,3,3,-1,-1,3
4,1,c 0132,s 0231,-1,-1,-1,-1,3
4,1,c 0132,s 0231,2,1,-1,-1,3
4,1,c 0132,s 0231,-1,-1,192.56626506024097,8.310528626400668,4
5,1,c 3102,s 2310,-1,-1,91.32704402515724,4.6506871817197855,4
5,1,c 3102,s 2310,-1,-1,113.59689922480621,4.478232243710017,3
5,1,c 3102,s 2310,2,0,114.57462686567165,5.917816339994432,3
5,1,c 3102,s 2310,3,2,158.91603053435114,15.468282331569462,4
6,1,c 2103,s 3021,2,3,302.71666666666664,25.14497409468187,3
6,1,c 2103,s 3021,-1,-1,246.54901960784315,20.132710409942224,3
6,1,c 2103,s 3021,-1,-1,228.75238095238095,20.18003773293039,4
6,1,c 2103,s 3021,3,1,405.2083333333333,47.245792728618234,4
7,1,c 1023,s 1320,2,2,209.0235294117647,20.401831792376612,3
7,1,c 1023,s 1320,-1,-1,175.48192771084337,12.093373118876498,4
7,1,c 1023,s 1320,-1,-1,195.8082191780822,15.676225375840726,3
7,1,c 1023,s 1320,3,0,211.54455445544554,16.201408539472,3
8,1,c 0231,s 0132,2,1,191.77083333333334,19.315084329064913,3
8,1,c 0231,s 0132,-1,-1,119.07377049180327,10.070381854796985,3
8,1,c 0231,s 0132,-1,-1,132.6697247706422,10.46361546254936,4
8,1,c 0231,s 0132,3,3,150.98473282442748,10.50553088268701,3
9,1,c 2031,s 3210,3,1,230.84057971014494,13.345599272936049,3
9,1,c 2031,s 3210,2,3,238.31578947368422,10.254922471820404,3
9,1,c 2031,s 3210,-1,-1,207.25641025641025,12.16352530303208,3
9,1,c 2031,s 3210,-1,-1,221.42990654205607,9.590797915927686,4
