Halinen	méreneur	Telitik	menfineur	Keimasen	mamivante	Melaren	métinir	Sanitich	menvitique	Habeleis	mérimique	Ligeten	marrazole	Reniman	mambourise	Reinatik	marolame	Ligerich	mafumore	Telliken	monatime	Verretisch	mémanfone	Zinaren	monandeur	Moberung	méreneur	Tereinat	mondiloche	Wittengen	mderranant	Wenisten	mmanuri	Girestet	msapavan	Werentik	mronvouli	Libbentik	mcorga	Zulergen	mlaritan	Gerernet	mbomafi	Mattendich	mtinolant	Bemechner	mlavoude	Vermiltung	mcup	Girenlich	mmansicou	Gelichlich	mlirone	Madikten	mbouvapet	Sonistik	mlumolant	Remesten	mdulicon	Walberung	mménétive	Mielbeten	mchelronne	Wecktellin	msineronde	Mandiren	mrolarame	Tüchtilen	mdéreneur	Funtieres	mdellerette	Warlanen	mmasselire	Teckresen	msulitive	Lasgelich	mlénati	Jetralich	mmanairette	Solteten	mdétinage	Reltiner	mdéc	Zintierer	mdélarance	Bilterung	mérinance	Holgelich	mdensinage	Halinen	Telitik	Keimasen	Melaren	Sanitich	Habeleis	Ligeten	Reniman	Reinatik	Ligerich	Telliken	Verretisch	Zinaren	Moberung	Tereinat	Wittengen	Wenisten	Girestet	Werentik	Libbentik	Zulergen	Gerernet	Mattendich	Bemechner	Vermilltung	Girenlich	Gelichlich	Madikten	Sonistik	Remesten	Walberung	Mielbeten	Wecktellin	Mandiren	Tüchtilen	Funtieres	Warlanen	Teckresen	Lasgelich	Jetralich	Solteten	Reltiner	Zintierer	Bilterung	Holgelich
4	Saline	3		5		5	Balearen	4		5		5		3		4		5	Wegerich	4		5		5		5		5		5		5		4		5		5		3		4		4		5		5	Vermittlung	4		2		5		5		4		5		5		5		5		3		2		5		4		3		2		5		5		5		4		3		img10	img1	img6	img3	img7	img5	img9	img11	img2	img0	img1	img7	img8	img4	img11	img10	img0	img8	img5	img11	img9	img3	img4	img6	img10	img9	img3	img7	img1	img2	img4	img9	img11	img3	img1	img5	img0	img2	img6	img6	img3	img2	img5	img10	img8
4		3	Kinetik	1	Keim	2	Melone	3	Sanitär	1	Gabel	5		4		2	Literaturbegriff	1	Vogelart	3	Telefon	3		4		1	Möbelierung	4		2	Stadtname	4		5		3		5		4		1	geerntet	2	Matratze	1	Berechner	1	Vermittlung	1	gierig	5		3		2	Stochastik 	4		1	Wanderung	2		4		2	Mandarinen	3	Tücher	4		2		2	Tresen	4	Glas	3		4		3	Dalmatiner	2	Zinn	1	Bild	2	hager	img6	img3	img6	img1	img11	img7	img10	img9	img2	img8	img3	img11	img1	img5	img0	img7	img10	img11	img7	img3	img11	img6	img10	img3	img5	img3	img9	img0	img8	img4	img6	img1	img11	img4	img0	img3	img4	img5	img0	img11	img5	img6	img9	img2	img9
1	Saline	1		1	Keinhasen   	1	Molaren	2	Sanitär	3		2	Limetten	1		4		4		2		4	verräterisch	4	Zinnen	5	Möbelierung	1		3		4		1		3		4		4		2		4		5		5	Vermittlung	4		5		3		5	Sonagrammakustik	4	Semester	4		2		4		1	Mandarinen	4	Tüchlein	1		4	Scharlatane	4		4		2	vertraulich	1		2	Veltliner	2		4		5		img11	img10	img6	img8	img7	img11	img3	img9	img0	img8	img6	img11	img1	img4	img0	img3	img8	img2	img10	img7	img11	img3	img7	img5	img0	img1	img3	img8	img10	img2	img4	img8	img3	img8	img8	img6	img6	img2	img7	img5	img11	img4	img9	img7	img4
4		4		4	Masern	4		4		4	Eis	4		4		4		4		4		4	Rettich	5		5		4		5	Wittenberg	5	wenigstens	4	getestet	4		4	Lippe	5		4		4		4		4	Vermittlung	5		3		5		5		5		5		5	Beten	5		5		5	tüchtig	3		5		4		5	las	5		5		5		4	Tier	5		4		img0	img1	img1	img3	img9	img4	img6	img6	img11	img8	img2	img7	img5	img8	img10	img2	img7	img11	img6	img9	img10	img2	img8	img4	img0	img11	img6	img1	img4	img5	img4	img0	img6	img8	img2	img11	img5	img11	img3	img10	img10	img2	img1	img7	img9
3	Saline	5		5		5		3	Sanitär	4		4		5		5		4		5		2	Verräterisch			2	Eroberung	5		2	Stadtname	2	wenigstens	2	geröstet	5		5		5		4		5		4		2	Vermittlung	2	gierig	2	glücklich	5		3		5		2	Veralberung	3	Müllbecken	3		4		2	tüchtig	3		3	Waran	3	Tresen	3		5		2	sollten	2		3		2		3	folglich	img2	img10	img0	img3	img7	img5	img11	img0	img1	img8	img1	img6	img10	img4	img9	img7	img10	img3	img1	img9	img6	img3	img4	img4	img5	img3	img8	img7	img11	img2	img8	img7	img9	img7	img4	img6	img8	img3	img2	img11	img5	img6	img10	img10	img0
5	Pralinen	2		4		4	Melanom	1		1		5	Liga	1		5		1	Giegerich	3		5	verräterisch	3		5	Mobbing	5		5	Wittenberg	5	wenigstens	5	Gitarre	4		4		1		1		2		5	Berechner	5	Vermittlung	4		1		5	Delikte	5		5		5		5	Mietbetten	5		5	Mandarinen		Tüchtig		Fundiertes	5	Waran	4		1		5		5	Soldaten	5	Rentner	5		5	Bildung	4	folglich	img0	img9	img1	img1	img4	img4	img2	img9	img8	img6	img5	img10	img1	img11	img4	img7	img3	img5	img6	img9	img3	img10	img10	img8	img3	img6	img7	img3	img7	img0	img7	img3	img4	img0	img2	img4	img8	img5	img10	img10	img9	img8	img1	img5	img10
5	Hallige	4	Tektonik	5		3	Landschaft	4	Sittig	4		1				5	Statik	5	Lügerner	3				3		5	Mobbing	2		5	Stadtname	5	wenigstens	2		2		4		5	zulabern	5		5	schattig	5	Rechner	5		4		4	gemächlig	5	Praktiken	5	Wissenschaft	3																																				img6			img9						img2																								img2							
4	Pralinen	2		2		3	Mekanin	1		1		4		1		3		4	Wegerich	3		2	Verräterisch	4		3	Eroberung	1		2		2		1		2		2	Lebendig			1		1		3	Bemesser	4	Vermittlung	2		1				4		2		3		1		2		3	Sondieren	1		1		2		2		1		1	Tetralisch	2	Soldaten	3	Veltliner	4		3	Filterung	1		img8	img1	img3	img9	img4	img10	img2	img9	img2	img9	img8	img6	img3	img1	img8	img7	img8	img11	img5	img8	img10		img7	img2	img6		img9	img3	img8	img4	img5	img8	img3	img8	img2	img6	img3	img9	img11	img1	img2	img0	img9	img5	img9
3	Pralinen	2	Politik	4		4	Balearen 	2		3		3	irgendne Inselgruppe	4		4		3		2		1	vegetarisch	2	wieder ne Inselgruppe	4	Eroberung	3	Internat	4	Stadtname	4	wenigstens	4	gerostet	4		2		2		1		3		3	Berechner	4	Vermietung	3		2		3		2		4		4	Wanderung	4		3		2		2		1		4	Karpatenvolk	3		4		2		3		3		1		4		3		img3	img11	img0	img5	img8	img9	img8	img10	img2	img9	img2	img2	img1	img7	img6	img7	img5	img10	img2	img1	img6	img8	img4	img3	img8	img2	img2	img1	img3	img2	img3	img0	img9	img6	img9	img6	img4	img8	img11	img5	img2	img1	img8	img7	img9
4	Halina 	2	Genetik	5	Futter asen	4	Balearen	2	Jesidisch	3	eis	4	Liguren	1	Ayman	3	Thematik	4	Lengerich	2	Aleuten	2	ferret-like	3	Balearen	4	Isolationsmaterial	1	Protektorat	4	Witten	3	Nudisten	1	Getestet	2	Genetik	1	Lippe	2	Zulagen 	1	Freixenet	3	Metternich	1	Berechner	3	Vermengung	2	Eigentlich 	2	Gleichgeschlechtlich	4	Leviten	4	Phonetik	3	Würselen	4	Erhebung	4	Presbyten	2	Leugnen	4	Balearen	1	Tüchtig	1	Fundiertes	3	Kormorane	2	Steckrosrn	1	Maßgeblich	1	Gemächlich 	1	Sollten	4	Veltliner	1	Sündiger	2	bilderung	1	Folglich	img0	img4	img3	img5	img9	img5	img10	img0	img5	img8	img1	img6	img11	img6	img11	img7	img0	img1	img10	img10	img7	img6	img8	img0	img1	img3	img7	img1	img10	img3	img4	img7	img0	img11	img3	img11	img8	img2	img2	img11	img5	img6	img8	img10	img9
