id,jour,ordre histoires,ordre conditions,histoire,condition,reponse donnee,reponse attendue,evaluation,transcription
2,2,3012,2130,0,1,Sonistik,Sonistik,True,alala
2,2,3012,2130,0,1,Lasgelich,Keimase,False,alalo
2,2,3012,2130,0,1,Ligete,Ligete,True,
2,2,3012,2130,1,3,Mielbete,Mielbete,True,
2,2,3012,2130,1,3,Keimase,Zulergen,False,
2,2,3012,2130,1,3,Mattendich,Mattendich,True,
2,2,3012,2130,2,0,Madikten,Madikten,True,
2,2,3012,2130,2,0,Tereinat,Tereinat,True,
2,2,3012,2130,2,0,Melare,Melare,True,
2,2,3012,2130,3,2,Soltete,Soltete,True,
2,2,3012,2130,3,2,Wecktellin,Wecktellin,True,
2,2,3012,2130,3,2,Ligete,Lasgelich,False,
1,2,1302,3012,0,1,Sonistik,Sonistik,True,
1,2,1302,3012,0,1,Madikten,Keimase,False,
1,2,1302,3012,0,1,Tereinat,Ligete,False,
1,2,1302,3012,1,3,Mattendich,Mielbete,False,
1,2,1302,3012,1,3,Keimase,Zulergen,False,
1,2,1302,3012,1,3,Sonistik,Mattendich,False,
1,2,1302,3012,2,2,Madikten,Madikten,True,
1,2,1302,3012,2,2,Zulergen,Tereinat,False,
1,2,1302,3012,2,2,Melare,Melare,True,
1,2,1302,3012,3,0,Soltete,Soltete,True,
1,2,1302,3012,3,0,Wecktellin,Wecktellin,True,
1,2,1302,3012,3,0,Lasgelich,Lasgelich,True,
3,2,321,312,0,0,Sonistik,Sonistik,True,
3,2,321,312,0,0,Mielbete,Keimase,False,
3,2,321,312,0,0,Keimase,Ligete,False,
3,2,321,312,1,2,Soltete,Mielbete,False,
3,2,321,312,1,2,Wecktellin,Zulergen,False,
3,2,321,312,1,2,Madikten,Mattendich,False,
3,2,321,312,2,1,Tereinat,Madikten,False,
3,2,321,312,2,1,Ligete,Tereinat,False,
3,2,321,312,2,1,Mattendich,Melare,False,
3,2,321,312,3,3,Lasgelich,Soltete,False,
3,2,321,312,3,3,Zulergen,Wecktellin,False,
3,2,321,312,3,3,Melare,Lasgelich,False,
4,2,231,132,0,0,Sonistik,Sonistik,True,
4,2,231,132,0,0,Madikten,Keimase,False,
4,2,231,132,0,0,Ligete,Ligete,True,
4,2,231,132,1,2,-1,Mielbete,False,
