id,jour,ordre histoires,ordre conditions,histoire,condition,type,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
2,2,c 2130,s 3012,1,0,vehicule,Sonistik,Sonistik,True,Sunistik,,z_o_n_i_s_t_i_k,10,,,10
2,2,c 2130,s 3012,1,0,maison,Lasgelich,Keimase,False,,,k_aI_m_a_s_@,10,,,10
2,2,c 2130,s 3012,3,1,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
2,2,c 2130,s 3012,1,0,personnage,Mielbete,Mielbete,True,Melare,,m_i_l_b_e_t_@,10,,,10
2,2,c 2130,s 3012,2,3,maison,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
2,2,c 2130,s 3012,3,1,vehicule,Mattendich,Mattendich,True,Machende,,m_a_t_@_n_d_i_C,10,,,10
2,2,c 2130,s 3012,0,2,maison,Madikten,Madikten,True,Medikte,,m_a_d_i_k_t_@,10,,,10
2,2,c 2130,s 3012,3,1,personnage,Tereinat,Tereinat,True,Trentete,,t_e_r_aI_n_a_t,10,,,10
2,2,c 2130,s 3012,2,3,vehicule,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
2,2,c 2130,s 3012,0,2,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
2,2,c 2130,s 3012,0,2,vehicule,Wecktellin,Wecktellin,True,Vektrene,,v_@_k_t_e_l_i_n,10,,,10
2,2,c 2130,s 3012,2,3,personnage,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
1,2,c 3012,s 1302,1,0,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
1,2,c 3012,s 1302,1,0,maison,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
1,2,c 3012,s 1302,3,1,maison,Tereinat,Ligete,False,Legete,,l_i_g_e_t_@,10,,,10
1,2,c 3012,s 1302,1,0,personnage,Mattendich,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
1,2,c 3012,s 1302,0,3,maison,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
1,2,c 3012,s 1302,3,1,vehicule,Sonistik,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
1,2,c 3012,s 1302,2,2,maison,Madikten,Madikten,True,,,m_a_d_i_k_t_@,10,,,10
1,2,c 3012,s 1302,3,1,personnage,Zulergen,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
1,2,c 3012,s 1302,0,3,vehicule,Melare,Melare,True,Melare,,m_e_l_a_r_@,10,,,10
1,2,c 3012,s 1302,2,2,personnage,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
1,2,c 3012,s 1302,2,2,vehicule,Wecktellin,Wecktellin,True,,,v_@_k_t_e_l_i_n,10,,,10
1,2,c 3012,s 1302,0,3,personnage,Lasgelich,Lasgelich,True,,,l_a_s_g_e_l_i_C,10,,,10
3,2,c 0312,s 0321,0,0,vehicule,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
3,2,c 0312,s 0321,0,0,maison,Mielbete,Keimase,False,,,k_aI_m_a_s_@,10,,,10
3,2,c 0312,s 0321,2,1,maison,Keimase,Ligete,False,,,l_i_g_e_t_@,10,,,10
3,2,c 0312,s 0321,0,0,personnage,Soltete,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
3,2,c 0312,s 0321,3,3,maison,Wecktellin,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
3,2,c 0312,s 0321,2,1,vehicule,Madikten,Mattendich,False,,,m_a_t_@_n_d_i_C,10,,,10
3,2,c 0312,s 0321,1,2,maison,Tereinat,Madikten,False,,,m_a_d_i_k_t_@,10,,,10
3,2,c 0312,s 0321,2,1,personnage,Ligete,Tereinat,False,,,t_e_r_aI_n_a_t,10,,,10
3,2,c 0312,s 0321,3,3,vehicule,Mattendich,Melare,False,,,m_e_l_a_r_@,10,,,10
3,2,c 0312,s 0321,1,2,personnage,Lasgelich,Soltete,False,,,z_o_l_t_e_t_@,10,,,10
3,2,c 0312,s 0321,1,2,vehicule,Zulergen,Wecktellin,False,,,v_@_k_t_e_l_i_n,10,,,10
3,2,c 0312,s 0321,3,3,personnage,Melare,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
4,2,c 0132,s 0231,0,0,vehicule,Sonistik,Sonistik,True,melare,,z_o_n_i_s_t_i_k,10,,,10
4,2,c 0132,s 0231,0,0,maison,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
4,2,c 0132,s 0231,2,1,maison,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
4,2,c 0132,s 0231,0,0,personnage,-1,Mielbete,False,,,m_i_l_b_e_t_@,10,,,10
4,2,c 0132,s 0231,3,3,maison,Melare,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
4,2,c 0132,s 0231,2,1,vehicule,Mattendich,Mattendich,True,,,m_a_t_@_n_d_i_C,10,,,10
4,2,c 0132,s 0231,1,2,maison,Keimase,Madikten,False,...dick...,,m_a_d_i_k_t_@,10,,,10
4,2,c 0132,s 0231,2,1,personnage,Tereinat,Tereinat,True,,,t_e_r_aI_n_a_t,10,,,10
4,2,c 0132,s 0231,3,3,vehicule,Sonistik,Melare,False,,,m_e_l_a_r_@,10,,,10
4,2,c 0132,s 0231,1,2,personnage,Zulergen,Soltete,False,soltete,,z_o_l_t_e_t_@,10,,,10
4,2,c 0132,s 0231,1,2,vehicule,Wecktellin,Wecktellin,True,vekti...,,v_@_k_t_e_l_i_n,10,,,10
4,2,c 0132,s 0231,3,3,personnage,Lasgelich,Lasgelich,True,terrainaud,,l_a_s_g_e_l_i_C,10,,,10
5,2,c 3102,s 2310,2,0,vehicule,Wecktellin,Sonistik,False,,,z_o_n_i_s_t_i_k,10,,,10
