id,jour,ordre histoires,ordre conditions,histoire,type,condition,reponse donnee,reponse attendue,evaluation,orthographe,transcription,reponse phonetique,distance,mot le plus proche,transcription,distance
2,2,s 3012,c 2130,0,vehicule,1,Sonistik,Sonistik,True,Sunistik,z_u_n_i_s_t_i_k,z_o_n_i_s_t_i_k,0.7142857142857143,Sonistik,z_o_n_i_s_t_i_k,0.7142857142857143
2,2,s 3012,c 2130,0,maison,1,Lasgelich,Keimase,False,,,k_aI_m_a_s_@,10,,,10
2,2,s 3012,c 2130,1,maison,3,Ligete,Ligete,True,,,l_i_g_e_t_@,10,,,10
2,2,s 3012,c 2130,0,personnage,1,Mielbete,Mielbete,True,Melare,m_e_l_a_r_@,m_i_l_b_e_t_@,4.2857142857142865,Melare,m_e_l_a_r_@,0.0
2,2,s 3012,c 2130,3,maison,2,Keimase,Zulergen,False,,,ts_u_l_@_r_g_@,10,,,10
2,2,s 3012,c 2130,1,vehicule,3,Mattendich,Mattendich,True,Machende,m_a_x_@_n_d_@,m_a_t_@_n_d_i_C,2.857142857142857,Mattendich,m_a_t_@_n_d_i_C,2.857142857142857
2,2,s 3012,c 2130,2,maison,0,Madikten,Madikten,True,Medikte,m_e_d_i_k_t_@,m_a_d_i_k_t_@,1.142857142857143,Madikten,m_a_d_i_k_t_@,1.142857142857143
2,2,s 3012,c 2130,1,personnage,3,Tereinat,Tereinat,True,Trentete,t_r_@_n_t_e_t_@,t_e_r_aI_n_a_t,5.2857142857142865,Soltete,z_o_l_t_e_t_@,4.000000000000001
2,2,s 3012,c 2130,3,vehicule,2,Melare,Melare,True,,,m_e_l_a_r_@,10,,,10
2,2,s 3012,c 2130,2,personnage,0,Soltete,Soltete,True,,,z_o_l_t_e_t_@,10,,,10
2,2,s 3012,c 2130,2,vehicule,0,Wecktellin,Wecktellin,True,Vektrene,v_@_k_t_r_e_n_@,v_@_k_t_e_l_i_n,3.428571428571429,Wecktellin,v_@_k_t_e_l_i_n,3.428571428571429
2,2,s 3012,c 2130,3,personnage,2,Ligete,Lasgelich,False,,,l_a_s_g_e_l_i_C,10,,,10
1,2,s 1302,c 3012,0,vehicule,1,Sonistik,Sonistik,True,,,z_o_n_i_s_t_i_k,10,,,10
1,2,s 1302,c 3012,0,maison,1,Madikten,Keimase,False,,,k_aI_m_a_s_@,10,,,10
1,2,s 1302,c 3012,1,maison,3,Tereinat,Ligete,False,Legete,l_e_g_e_t_@,l_i_g_e_t_@,0.7142857142857143,Ligete,l_i_g_e_t_@,0.7142857142857143
