id,jour,ordre conditions,ordre histoires,condition,histoire,score
1,1,c 3012,s 1302,3,1,0.0
1,2,c 3012,s 1302,3,1,0.0
1,2,c 3012,s 1302,2,2,1.0
1,1,c 3012,s 1302,2,2,1.2428571428571429
1,1,c 3012,s 1302,1,0,0.5857142857142857
1,1,c 3012,s 1302,0,3,0.0
1,2,c 3012,s 1302,0,3,0.0
1,2,c 3012,s 1302,1,0,0.0
2,2,c 2130,s 3012,2,3,0.0
2,1,c 2130,s 3012,1,0,3
2,2,c 2130,s 3012,0,2,0.0
2,1,c 2130,s 3012,2,3,3
2,2,c 2130,s 3012,1,0,0.0
2,1,c 2130,s 3012,3,1,3
2,1,c 2130,s 3012,0,2,3
2,2,c 2130,s 3012,3,1,0.0
3,2,c 0312,s 0321,0,0,0.0
3,2,c 0312,s 0321,2,1,1.0
3,2,c 0312,s 0321,3,3,1.2428571428571429
3,1,c 0312,s 0321,1,2,2.0
3,1,c 0312,s 0321,2,1,1.0
3,2,c 0312,s 0321,1,2,0.1
3,1,c 0312,s 0321,3,3,1.4142857142857144
3,1,c 0312,s 0321,0,0,0.07142857142857142
4,2,c 0132,s 0231,3,3,1.0
4,2,c 0132,s 0231,1,2,0.0
4,1,c 0132,s 0231,1,2,0.0
4,1,c 0132,s 0231,0,0,0.0
4,1,c 0132,s 0231,3,3,1.5857142857142856
4,1,c 0132,s 0231,2,1,0.1142857142857143
4,2,c 0132,s 0231,0,0,0.1
4,2,c 0132,s 0231,2,1,0.0
5,2,c 3102,s 2310,1,3,0.0
5,1,c 3102,s 2310,1,3,1.6
5,2,c 3102,s 2310,2,0,0.07142857142857142
5,1,c 3102,s 2310,0,1,0.0
5,1,c 3102,s 2310,3,2,0.0
5,2,c 3102,s 2310,3,2,0.0
5,2,c 3102,s 2310,0,1,0.0
5,1,c 3102,s 2310,2,0,0.17142857142857143
