id,jour,ordre conditions,ordre histoires,condition,histoire,score
1,2,c 3012,s 1302,2,1,0.0
1,2,c 3012,s 1302,4,2,0.0
1,2,c 3012,s 1302,3,3,3
1,2,c 3012,s 1302,1,4,3
1,3,c 3012,s 1302,2,1,3
1,3,c 3012,s 1302,4,2,0.0
1,3,c 3012,s 1302,3,3,3
1,3,c 3012,s 1302,1,4,3
2,2,c 2130,s 3012,2,1,3
2,2,c 2130,s 3012,4,2,3
2,2,c 2130,s 3012,1,3,3
2,2,c 2130,s 3012,3,4,0.0
2,3,c 2130,s 3012,2,1,3
2,3,c 2130,s 3012,4,2,3
2,3,c 2130,s 3012,1,3,3
2,3,c 2130,s 3012,3,4,3
3,2,c 0312,s 0321,1,1,3
3,2,c 0312,s 0321,3,2,3
3,2,c 0312,s 0321,2,3,3
3,2,c 0312,s 0321,4,4,1.4142857142857144
3,3,c 0312,s 0321,1,1,3
3,3,c 0312,s 0321,3,2,3
3,3,c 0312,s 0321,2,3,3
3,3,c 0312,s 0321,4,4,1.4142857142857144
4,3,c 0132,s 0231,1,1,3
4,3,c 0132,s 0231,3,2,3
4,3,c 0132,s 0231,2,3,0.0
4,3,c 0132,s 0231,4,4,3
4,2,c 0132,s 0231,1,1,2.2857142857142856
4,2,c 0132,s 0231,3,2,0.1142857142857143
4,2,c 0132,s 0231,2,3,3
4,2,c 0132,s 0231,4,4,2.142857142857143
5,2,c 3102,s 2310,3,1,0.07142857142857142
5,2,c 3102,s 2310,1,2,0.0
5,2,c 3102,s 2310,4,3,3
5,2,c 3102,s 2310,2,4,3
5,3,c 3102,s 2310,3,1,3
5,3,c 3102,s 2310,1,2,0.0
5,3,c 3102,s 2310,4,3,3
5,3,c 3102,s 2310,2,4,3
