id,jour,ordre conditions,ordre histoires,condition,histoire,nbSyll,mean f,var f,nbHesit,propHesit
1,1,c 3012,s 1302,3,1,813,3.0660827141712557,2.9660872741052584,33,0.04059040590405904
1,2,c 3012,s 1302,3,1,615,3.361184739354337,2.7887697512380254,22,0.03577235772357724
1,2,c 3012,s 1302,2,2,575,3.2898312516852455,2.781300658652456,23,0.04
1,1,c 3012,s 1302,2,2,555,3.3316786666332328,2.6689999684786097,34,0.06126126126126126
1,1,c 3012,s 1302,1,0,734,3.214660398173777,2.913618483855644,40,0.05449591280653951
1,1,c 3012,s 1302,0,3,815,2.8914598361016175,2.5538113141901895,33,0.04049079754601227
1,2,c 3012,s 1302,0,3,465,2.977925927065741,2.471264777779007,27,0.05806451612903226
1,2,c 3012,s 1302,1,0,449,3.1299250830480085,2.18247216064245,19,0.042316258351893093
2,2,c 2130,s 3012,2,3,152,2.733552499917148,3.0236393514503495,2,0.013157894736842105
2,1,c 2130,s 3012,1,0,141,2.811000010631394,2.7398700151868924,3,0.02127659574468085
2,2,c 2130,s 3012,0,2,157,2.8371326401967947,2.5482288928401204,5,0.03184713375796178
2,1,c 2130,s 3012,2,3,120,2.4949808434600906,3.5087126651559855,2,0.016666666666666666
2,2,c 2130,s 3012,1,0,138,2.7853815092410183,2.556147912503011,3,0.021739130434782608
2,1,c 2130,s 3012,3,1,142,2.502830352746649,3.574269070362795,4,0.028169014084507043
2,1,c 2130,s 3012,0,2,147,2.8888748526684296,3.537474533678439,3,0.02040816326530612
2,2,c 2130,s 3012,3,1,163,2.738355124947025,3.013477633366444,4,0.024539877300613498
3,2,c 0312,s 0321,0,0,308,2.7637151988572675,2.674131714355591,35,0.11363636363636363
3,2,c 0312,s 0321,2,1,232,2.364883920839148,2.2329045810079364,24,0.10344827586206896
3,2,c 0312,s 0321,3,3,247,2.4653655682521936,2.087134251617133,26,0.10526315789473684
3,1,c 0312,s 0321,1,2,234,2.2946208247718567,2.5479833831999907,27,0.11538461538461539
3,1,c 0312,s 0321,2,1,202,2.4163054683405196,2.9161954948767796,21,0.10396039603960396
3,2,c 0312,s 0321,1,2,275,2.8795382218283305,2.5133709413438456,32,0.11636363636363636
3,1,c 0312,s 0321,3,3,261,2.5801484968311974,2.884683747766899,17,0.06513409961685823
3,1,c 0312,s 0321,0,0,355,2.586047441284354,2.846662833991428,36,0.10140845070422536
4,2,c 0132,s 0231,3,3,500,2.6866593864437074,2.617322841900135,56,0.112
4,2,c 0132,s 0231,1,2,517,2.9411723228605657,3.0591633847348434,48,0.09284332688588008
4,1,c 0132,s 0231,1,2,333,3.003583504378791,3.2543518143502363,29,0.08708708708708708
4,1,c 0132,s 0231,0,0,396,3.135415765245646,3.203434477982358,29,0.07323232323232323
4,1,c 0132,s 0231,3,3,365,2.6795516599638307,2.825754975330099,28,0.07671232876712329
4,1,c 0132,s 0231,2,1,438,2.9170902676642982,2.652877097910151,36,0.0821917808219178
4,2,c 0132,s 0231,0,0,358,2.6781148365990335,2.502168144926093,32,0.0893854748603352
4,2,c 0132,s 0231,2,1,443,2.9887466191227348,3.0768684352779467,43,0.09706546275395034
5,2,c 3102,s 2310,1,3,431,3.728293097946022,4.4966743827924365,18,0.04176334106728538
5,1,c 3102,s 2310,1,3,628,3.4437654059666394,4.561879501080164,38,0.06050955414012739
5,2,c 3102,s 2310,2,0,355,3.467147633302931,5.1628000678825385,19,0.05352112676056338
5,1,c 3102,s 2310,0,1,449,3.6904197124509053,4.513744108417608,19,0.042316258351893093
5,1,c 3102,s 2310,3,2,569,3.2164623866272337,5.390555511261441,29,0.050966608084358524
5,2,c 3102,s 2310,3,2,397,3.479983818120892,4.039251945305386,22,0.055415617128463476
5,2,c 3102,s 2310,0,1,435,3.7866325706658364,4.663676236281325,23,0.052873563218390804
5,1,c 3102,s 2310,2,0,332,2.8125531342914525,4.618538944202435,22,0.06626506024096386
6,1,c 2103,s 3021,0,2,489,4.661415089608407,1.9818016907751126,15,0.03067484662576687
6,2,c 2103,s 3021,2,3,342,4.1080755300044824,1.8904599973149203,13,0.038011695906432746
6,2,c 2103,s 3021,0,2,351,4.149447192448872,1.5245868179887336,15,0.042735042735042736
6,2,c 2103,s 3021,3,1,343,4.282845693627497,1.9014829917283704,13,0.037900874635568516
6,1,c 2103,s 3021,2,3,316,3.3738279785114997,2.847874291594913,13,0.04113924050632911
6,2,c 2103,s 3021,1,0,328,4.242784206141217,1.2475020612012842,13,0.039634146341463415
6,1,c 2103,s 3021,3,1,386,4.089102663570329,2.5466724196873294,9,0.023316062176165803
6,1,c 2103,s 3021,1,0,343,4.169271954841267,2.011752630329384,12,0.03498542274052478
7,1,c 1023,s 1320,0,3,543,4.069667832884277,1.7296912666479776,18,0.03314917127071823
