id,jour,ordre conditions,ordre histoires,condition,histoire,nbSyll,nbPauses,meanPauses,varPauses
1,1,c 3012,s 1302,3,1,6,3.028391928516026,2.900516876362242,35,0.043586550435865505
1,2,c 3012,s 1302,3,1,150,3.3175052325267407,2.8162800180045804,23,0.03789126853377265
1,2,c 3012,s 1302,2,2,116,3.278390843394058,2.7536086704600584,23,0.04013961605584642
1,1,c 3012,s 1302,2,2,-247,3.301735398137784,2.6309126355142975,35,0.06363636363636363
1,1,c 3012,s 1302,1,0,-78,3.148962614475677,2.822057431459898,40,0.055632823365785816
1,2,c 3012,s 1302,1,0,-13,3.09505663736607,2.1284685057680246,20,0.04504504504504504
2,2,c 2130,s 3012,2,3,-8,2.661589406703525,2.7232484110554642,3,0.02027027027027027
2,1,c 2130,s 3012,1,0,-6,2.811000010631394,2.7398700151868924,3,0.02127659574468085
2,1,c 2130,s 3012,2,3,-27,2.4949808434600906,3.5087126651559855,2,0.016666666666666666
2,2,c 2130,s 3012,1,0,-20,2.74491238616642,2.5683737780339104,4,0.029411764705882353
2,1,c 2130,s 3012,3,1,-5,2.502830352746649,3.574269070362795,5,0.035211267605633804
2,2,c 2130,s 3012,3,1,6,2.721551786854884,2.9957752654381427,4,0.024691358024691357
3,2,c 0312,s 0321,2,1,-69,2.354664269027184,2.209987245577901,24,0.1038961038961039
3,2,c 0312,s 0321,3,3,-53,2.4653655682521936,2.087134251617133,27,0.10931174089068826
3,1,c 0312,s 0321,1,2,-119,2.2946208247718567,2.5479833831999907,28,0.11965811965811966
3,1,c 0312,s 0321,2,1,-152,2.4043548629912683,2.8712441387085788,21,0.1044776119402985
3,2,c 0312,s 0321,1,2,-29,2.8377436451161504,2.415080535547973,32,0.11808118081180811
3,1,c 0312,s 0321,3,3,-94,2.5603396521820616,2.886843736042693,19,0.07335907335907337
4,2,c 0132,s 0231,3,3,140,2.670517081206029,2.59506946623863,58,0.11670020120724346
4,2,c 0132,s 0231,1,2,149,2.8785670103854124,3.027695314615571,48,0.09486166007905138
4,1,c 0132,s 0231,1,2,-66,2.9042656741332795,3.089949065359266,30,0.09316770186335403
4,1,c 0132,s 0231,3,3,-26,2.6575413008407147,2.8233991380596284,28,0.07734806629834254
4,1,c 0132,s 0231,2,1,47,2.8970640205975915,2.6394061182868023,37,0.08505747126436781
4,2,c 0132,s 0231,2,1,85,2.981966502299613,3.0771295357569666,43,0.09728506787330317
5,2,c 3102,s 2310,1,3,0,3.728293097946022,4.4966743827924365,19,0.04408352668213457
5,1,c 3102,s 2310,1,3,175,3.4054499787715153,4.497503803766985,38,0.061191626409017714
5,2,c 3102,s 2310,2,0,-77,3.4573790603186434,5.120723333099476,19,0.05367231638418079
5,1,c 3102,s 2310,3,2,115,3.171230062995752,5.2146456957088265,29,0.05169340463458111
5,2,c 3102,s 2310,3,2,-40,3.427452224926017,3.9620099975771064,22,0.056265984654731455
5,1,c 3102,s 2310,2,0,-117,2.7871521533961947,4.516864700704011,22,0.0668693009118541
6,2,c 2103,s 3021,2,3,2,4.1080755300044824,1.8904599973149203,13,0.038011695906432746
6,2,c 2103,s 3021,3,1,-1,4.2329049085838655,1.8354988617744208,13,0.038348082595870206
6,1,c 2103,s 3021,2,3,-166,3.3738279785114997,2.847874291594913,13,0.04113924050632911
6,2,c 2103,s 3021,1,0,-14,4.2168907303313965,1.2826660319723353,13,0.03987730061349693
6,1,c 2103,s 3021,3,1,-99,4.057272674266521,2.43150444832412,9,0.02349869451697128
6,1,c 2103,s 3021,1,0,-140,4.1571192933079555,1.9939281733944665,12,0.03508771929824561
7,2,c 1023,s 1320,1,1,85,4.251316017579469,2.0571703833975197,33,0.06111111111111111
7,2,c 1023,s 1320,3,0,202,3.624362182197272,2.2086171459494883,41,0.0624048706240487
7,1,c 1023,s 1320,3,0,237,4.3060078554540535,0.985646856091536,19,0.02461139896373057
7,2,c 1023,s 1320,2,2,174,4.144945039329035,1.9957594816054376,31,0.0492845786963434
7,1,c 1023,s 1320,2,2,99,4.359111307592722,1.2107110959016083,20,0.031545741324921134
7,1,c 1023,s 1320,1,1,93,3.8299689260192493,2.734183814307648,23,0.03662420382165605
8,2,c 0231,s 0132,2,1,70,2.7855773497107563,2.5525099369711373,30,0.05905511811023622
8,1,c 0231,s 0132,1,2,195,2.8265956264320673,1.9080730163114539,44,0.08627450980392157
8,1,c 0231,s 0132,2,1,59,2.6061556763958853,2.6266025192733347,35,0.09358288770053476
8,2,c 0231,s 0132,1,2,-23,2.5818376370666734,2.41250474065378,42,0.10120481927710843
8,1,c 0231,s 0132,3,3,118,2.7247927121606836,2.4595430272165935,48,0.11085450346420324
8,2,c 0231,s 0132,3,3,57,2.495672384017282,2.4847829234822365,44,0.08888888888888889
9,1,c 2031,s 3210,2,3,-14,2.6654069080798672,1.7825042772613344,3,0.013333333333333334
9,2,c 2031,s 3210,3,1,-10,3.6931944203417557,2.613683686327688,1,0.0029850746268656717
9,2,c 2031,s 3210,1,0,7,3.877089200856736,2.260788657422445,0,0.0
9,1,c 2031,s 3210,1,0,48,3.824206681338913,1.8530015466149088,0,0.0
9,2,c 2031,s 3210,2,3,53,3.191022950059524,3.2391399027547916,5,0.01256281407035176
9,1,c 2031,s 3210,3,1,14,3.2687928012026086,2.111721857650113,1,0.003952569169960474
10,1,c 1230,s 1203,3,0,2,3.955788653558537,2.4924079795364493,18,0.04035874439461883
10,1,c 1230,s 1203,2,2,-71,3.8993954885083,2.7432582163546417,10,0.02680965147453083
10,2,c 1230,s 1203,2,2,39,4.019494023023979,4.016917877135418,15,0.02564102564102564
10,2,c 1230,s 1203,3,0,-58,3.4644163202384823,3.4601163964089823,12,0.02459016393442623
10,1,c 1230,s 1203,1,1,17,3.71112712782682,2.7493442275469877,10,0.021691973969631236
10,2,c 1230,s 1203,1,1,-146,4.138590138568906,2.951150788984522,12,0.03
11,2,c 2301,s 3120,2,3,144,2.8622386717412778,2.3729025823462413,33,0.06395348837209303
11,2,c 2301,s 3120,1,0,107,3.192879884743582,1.8559343826410077,27,0.05636743215031315
11,2,c 2301,s 3120,3,1,103,2.992844522765192,2.006719520759634,33,0.06947368421052631
11,1,c 2301,s 3120,2,3,-79,2.732379049526512,2.3458818658565437,27,0.07541899441340782
11,1,c 2301,s 3120,3,1,10,3.010520863865539,2.493411347274463,28,0.06263982102908278
11,1,c 2301,s 3120,1,0,-46,2.8433305784731915,2.1909907348433144,33,0.08439897698209718
12,2,c 3012,s 2130,1,3,-42,1.7214564309504423,3.110182833673016,5,0.017482517482517484
12,1,c 3012,s 2130,2,0,-67,2.0994791002327253,3.614911085159498,2,0.010752688172043012
12,1,c 3012,s 2130,1,3,-18,1.7794427287896324,3.181292677016241,2,0.00851063829787234
12,2,c 3012,s 2130,2,0,-35,1.874323275639818,3.8629616221971377,6,0.020477815699658702
12,1,c 3012,s 2130,3,2,43,1.9731681726518329,3.427124473092705,5,0.016891891891891893
12,2,c 3012,s 2130,3,2,-74,1.7821699152992816,3.049606614517377,3,0.011811023622047244
13,2,c 1320,s 1023,1,1,-47,2.3667847577541683,3.0674066947860927,13,0.034574468085106384
13,2,c 1320,s 1023,2,2,-27,2.4346072081582126,3.13097418903516,15,0.03787878787878788
13,1,c 1320,s 1023,3,0,19,2.7657669061054744,3.4399109688865415,10,0.03322259136212625
13,1,c 1320,s 1023,2,2,19,2.716406807116935,3.265349756462673,9,0.029900332225913623
13,2,c 1320,s 1023,3,0,-90,2.5501833729924996,3.010231799232865,11,0.03303303303303303
13,1,c 1320,s 1023,1,1,34,2.6524642950854553,2.2294035001820056,13,0.04113924050632911
14,2,c 2310,s 3102,2,3,-49,2.6459792613999737,2.5516116037147434,7,0.01977401129943503
14,2,c 2310,s 3102,3,1,-69,2.3924753398550993,2.2174475963359135,9,0.02694610778443114
14,1,c 2310,s 3102,1,0,-43,2.117435673273818,2.42308403517046,8,0.03463203463203463
14,1,c 2310,s 3102,2,3,-50,2.0789118331845113,1.7348156311357907,6,0.026785714285714284
14,1,c 2310,s 3102,3,1,-18,2.3603496507391015,2.1075205195634634,5,0.01953125
14,2,c 2310,s 3102,1,0,-104,2.464696223807669,1.8775264237791711,6,0.020066889632107024
15,1,c 3201,s 2031,1,1,-58,3.262067836812435,3.1800242964726815,10,0.03164556962025317
15,2,c 3201,s 2031,3,2,-102,2.856735504480361,3.05788070620873,17,0.04116222760290557
15,2,c 3201,s 2031,2,0,10,3.2178176364520836,3.1185739874371508,17,0.03238095238095238
15,2,c 3201,s 2031,1,1,-98,3.148937685127786,3.290740197158091,5,0.011990407673860911
15,1,c 3201,s 2031,2,0,84,3.3502690550850573,3.5254246243346876,14,0.03056768558951965
