id,jour,ordre conditions,ordre histoires,condition,histoire,scoreMax,scoreCumule,scoreMoyen,nbRepet
1,1,c 3012,s 1302,3,1,1.0,2.0,1.0,2
1,1,c 3012,s 1302,3,1,1.0,1.0,1.0,1
1,1,c 3012,s 1302,3,1,1.0,4.0,1.0,4
1,2,c 3012,s 1302,3,1,1.0,3.732142857142857,0.9330357142857143,4
1,2,c 3012,s 1302,3,1,1.0,1.0,1.0,1
1,2,c 3012,s 1302,3,1,1.0,2.0,1.0,2
1,2,c 3012,s 1302,2,2,1.0,8.0,1.0,8
1,2,c 3012,s 1302,2,2,1.0,1.0,1.0,1
1,2,c 3012,s 1302,2,2,0,0,0,0
1,1,c 3012,s 1302,2,2,0.6964285714285714,0,0,0
1,1,c 3012,s 1302,2,2,0,0,0,0
1,1,c 3012,s 1302,2,2,1.0,1.0,1.0,1
1,1,c 3012,s 1302,1,0,1.0,5.321428571428571,0.8869047619047619,6
1,1,c 3012,s 1302,1,0,0.3571428571428571,0,0,0
1,1,c 3012,s 1302,1,0,0.9107142857142857,3.642857142857143,0.9107142857142857,4
1,1,c 3012,s 1302,0,3,1.0,11.0,1.0,11
1,1,c 3012,s 1302,0,3,1.0,1.0,1.0,1
1,1,c 3012,s 1302,0,3,1.0,6.910714285714286,0.9872448979591837,7
1,2,c 3012,s 1302,0,3,1.0,2.0,1.0,2
1,2,c 3012,s 1302,0,3,1.0,3.0,1.0,3
1,2,c 3012,s 1302,0,3,1.0,3.0,1.0,3
1,2,c 3012,s 1302,1,0,1.0,5.0,1.0,5
1,2,c 3012,s 1302,1,0,1.0,1.0,1.0,1
1,2,c 3012,s 1302,1,0,1.0,3.0,1.0,3
2,2,c 2130,s 3012,2,3,1.0,1.0,1.0,1
2,2,c 2130,s 3012,2,3,1.0,2.0,1.0,2
2,2,c 2130,s 3012,2,3,1.0,1.0,1.0,1
2,1,c 2130,s 3012,1,0,0,0,0,0
2,1,c 2130,s 3012,1,0,0,0,0,0
2,1,c 2130,s 3012,1,0,0,0,0,0
2,2,c 2130,s 3012,0,2,1.0,3.0,1.0,3
2,2,c 2130,s 3012,0,2,1.0,1.0,1.0,1
2,2,c 2130,s 3012,0,2,1.0,2.0,1.0,2
2,1,c 2130,s 3012,2,3,0,0,0,0
2,1,c 2130,s 3012,2,3,0,0,0,0
2,1,c 2130,s 3012,2,3,0,0,0,0
